time: 0.209;  p: 0.000 0.014 0.200;  v: 0.000 0.139 0.000
time: 0.210;  p: 0.000 0.015 0.200;  v: 0.000 0.140 0.000
time: 0.211;  p: 0.000 0.015 0.200;  v: 0.000 0.141 0.000
time: 0.212;  p: 0.000 0.015 0.200;  v: 0.000 0.141 0.000
time: 0.213;  p: 0.000 0.015 0.200;  v: 0.000 0.142 0.000
time: 0.214;  p: 0.000 0.015 0.200;  v: 0.000 0.143 0.000
time: 0.215;  p: 0.000 0.015 0.200;  v: 0.000 0.143 0.000
time: 0.216;  p: 0.000 0.015 0.200;  v: 0.000 0.144 0.000
time: 0.217;  p: 0.000 0.016 0.200;  v: 0.000 0.145 0.000
time: 0.218;  p: 0.000 0.016 0.200;  v: 0.000 0.145 0.000
time: 0.219;  p: 0.000 0.016 0.200;  v: 0.000 0.146 0.000
time: 0.220;  p: 0.000 0.016 0.200;  v: 0.000 0.147 0.000
time: 0.221;  p: 0.000 0.016 0.200;  v: 0.000 0.147 0.000
time: 0.222;  p: 0.000 0.016 0.200;  v: 0.000 0.148 0.000
time: 0.223;  p: 0.000 0.017 0.200;  v: 0.000 0.149 0.000
time: 0.224;  p: 0.000 0.017 0.200;  v: 0.000 0.149 0.000
time: 0.225;  p: 0.000 0.017 0.200;  v: 0.000 0.150 0.000
time: 0.226;  p: 0.000 0.017 0.200;  v: 0.000 0.151 0.000
time: 0.227;  p: 0.000 0.017 0.200;  v: 0.000 0.151 0.000
time: 0.228;  p: 0.000 0.017 0.200;  v: 0.000 0.152 0.000
time: 0.229;  p: 0.000 0.017 0.200;  v: 0.000 0.153 0.000
time: 0.230;  p: 0.000 0.018 0.200;  v: 0.000 0.153 0.000
time: 0.231;  p: 0.000 0.018 0.200;  v: 0.000 0.154 0.000
time: 0.232;  p: 0.000 0.018 0.200;  v: 0.000 0.155 0.000
time: 0.233;  p: 0.000 0.018 0.200;  v: 0.000 0.155 0.000
time: 0.234;  p: 0.000 0.018 0.200;  v: 0.000 0.156 0.000
time: 0.235;  p: 0.000 0.018 0.200;  v: 0.000 0.157 0.000
time: 0.236;  p: 0.000 0.018 0.200;  v: 0.000 0.157 0.000
time: 0.237;  p: 0.000 0.019 0.200;  v: 0.000 0.158 0.000
time: 0.238;  p: 0.000 0.019 0.200;  v: 0.000 0.159 0.000
time: 0.239;  p: 0.000 0.019 0.200;  v: 0.000 0.159 0.000
time: 0.240;  p: 0.000 0.019 0.200;  v: 0.000 0.160 0.000
time: 0.241;  p: 0.000 0.019 0.200;  v: 0.000 0.161 0.000
time: 0.242;  p: 0.000 0.019 0.200;  v: 0.000 0.161 0.000
time: 0.243;  p: 0.000 0.020 0.200;  v: 0.000 0.162 0.000
time: 0.244;  p: 0.000 0.020 0.200;  v: 0.000 0.163 0.000
time: 0.245;  p: 0.000 0.020 0.200;  v: 0.000 0.163 0.000
time: 0.246;  p: 0.000 0.020 0.200;  v: 0.000 0.164 0.000
time: 0.247;  p: 0.000 0.020 0.200;  v: 0.000 0.165 0.000
time: 0.248;  p: 0.000 0.020 0.200;  v: 0.000 0.165 0.000
time: 0.249;  p: 0.000 0.021 0.200;  v: 0.000 0.166 0.000
time: 0.250;  p: 0.000 0.021 0.200;  v: 0.000 0.167 0.000
time: 0.251;  p: 0.000 0.021 0.200;  v: 0.000 0.167 0.000
time: 0.252;  p: 0.000 0.021 0.200;  v: 0.000 0.168 0.000
time: 0.253;  p: 0.000 0.021 0.200;  v: 0.000 0.169 0.000
time: 0.254;  p: 0.000 0.021 0.200;  v: 0.000 0.169 0.000
time: 0.255;  p: 0.000 0.022 0.200;  v: 0.000 0.170 0.000
time: 0.256;  p: 0.000 0.022 0.200;  v: 0.000 0.171 0.000
time: 0.257;  p: 0.000 0.022 0.200;  v: 0.000 0.171 0.000
time: 0.258;  p: 0.000 0.022 0.200;  v: 0.000 0.172 0.000
time: 0.259;  p: 0.000 0.022 0.200;  v: 0.000 0.173 0.000
time: 0.260;  p: 0.000 0.022 0.200;  v: 0.000 0.173 0.000
time: 0.261;  p: 0.000 0.023 0.200;  v: 0.000 0.174 0.000
time: 0.262;  p: 0.000 0.023 0.200;  v: 0.000 0.175 0.000
time: 0.263;  p: 0.000 0.023 0.200;  v: 0.000 0.175 0.000
time: 0.264;  p: 0.000 0.023 0.200;  v: 0.000 0.176 0.000
time: 0.265;  p: 0.000 0.023 0.200;  v: 0.000 0.177 0.000
time: 0.266;  p: 0.000 0.023 0.200;  v: 0.000 0.177 0.000
time: 0.267;  p: 0.000 0.024 0.200;  v: 0.000 0.178 0.000
time: 0.268;  p: 0.000 0.024 0.200;  v: 0.000 0.179 0.000
time: 0.269;  p: 0.000 0.024 0.200;  v: 0.000 0.179 0.000
time: 0.270;  p: 0.000 0.024 0.200;  v: 0.000 0.180 0.000
time: 0.271;  p: 0.000 0.024 0.200;  v: 0.000 0.181 0.000
time: 0.272;  p: 0.000 0.025 0.200;  v: 0.000 0.181 0.000
time: 0.273;  p: 0.000 0.025 0.200;  v: 0.000 0.182 0.000
time: 0.274;  p: 0.000 0.025 0.200;  v: 0.000 0.183 0.000
time: 0.275;  p: 0.000 0.025 0.200;  v: 0.000 0.183 0.000
time: 0.276;  p: 0.000 0.025 0.200;  v: 0.000 0.184 0.000
time: 0.277;  p: 0.000 0.025 0.200;  v: 0.000 0.185 0.000
time: 0.278;  p: 0.000 0.026 0.200;  v: 0.000 0.185 0.000
time: 0.279;  p: 0.000 0.026 0.200;  v: 0.000 0.186 0.000
time: 0.280;  p: 0.000 0.026 0.200;  v: 0.000 0.187 0.000
time: 0.281;  p: 0.000 0.026 0.200;  v: 0.000 0.187 0.000
time: 0.282;  p: 0.000 0.026 0.200;  v: 0.000 0.188 0.000
time: 0.283;  p: 0.000 0.027 0.200;  v: 0.000 0.189 0.000
time: 0.284;  p: 0.000 0.027 0.200;  v: 0.000 0.189 0.000
time: 0.285;  p: 0.000 0.027 0.200;  v: 0.000 0.190 0.000
time: 0.286;  p: 0.000 0.027 0.200;  v: 0.000 0.191 0.000
time: 0.287;  p: 0.000 0.027 0.200;  v: 0.000 0.191 0.000
time: 0.288;  p: 0.000 0.028 0.200;  v: 0.000 0.192 0.000
time: 0.289;  p: 0.000 0.028 0.200;  v: 0.000 0.193 0.000
time: 0.290;  p: 0.000 0.028 0.200;  v: 0.000 0.193 0.000
time: 0.291;  p: 0.000 0.028 0.200;  v: 0.000 0.194 0.000
time: 0.292;  p: 0.000 0.028 0.200;  v: 0.000 0.195 0.000
time: 0.293;  p: 0.000 0.029 0.200;  v: 0.000 0.195 0.000
time: 0.294;  p: 0.000 0.029 0.200;  v: 0.000 0.196 0.000
time: 0.295;  p: 0.000 0.029 0.200;  v: 0.000 0.197 0.000
time: 0.296;  p: 0.000 0.029 0.200;  v: 0.000 0.197 0.000
time: 0.297;  p: 0.000 0.029 0.200;  v: 0.000 0.198 0.000
time: 0.298;  p: 0.000 0.030 0.200;  v: 0.000 0.199 0.000
time: 0.299;  p: 0.000 0.030 0.200;  v: 0.000 0.199 0.000
time: 0.300;  p: 0.000 0.030 0.200;  v: 0.000 0.200 0.000
time: 0.301;  p: 0.000 0.030 0.200;  v: 0.000 0.201 0.000
time: 0.302;  p: 0.000 0.030 0.200;  v: 0.000 0.201 0.000
time: 0.303;  p: 0.000 0.031 0.200;  v: 0.000 0.202 0.000
time: 0.304;  p: 0.000 0.031 0.200;  v: 0.000 0.203 0.000
time: 0.305;  p: 0.000 0.031 0.200;  v: 0.000 0.203 0.000
time: 0.306;  p: 0.000 0.031 0.200;  v: 0.000 0.204 0.000
time: 0.307;  p: 0.000 0.031 0.200;  v: 0.000 0.205 0.000
time: 0.308;  p: 0.000 0.032 0.200;  v: 0.000 0.205 0.000
time: 0.309;  p: 0.000 0.032 0.200;  v: 0.000 0.206 0.000
time: 0.310;  p: 0.000 0.032 0.200;  v: 0.000 0.207 0.000
time: 0.311;  p: 0.000 0.032 0.200;  v: 0.000 0.207 0.000
time: 0.312;  p: 0.000 0.032 0.200;  v: 0.000 0.208 0.000
time: 0.313;  p: 0.000 0.033 0.200;  v: 0.000 0.209 0.000
time: 0.314;  p: 0.000 0.033 0.200;  v: 0.000 0.209 0.000
time: 0.315;  p: 0.000 0.033 0.200;  v: 0.000 0.210 0.000
time: 0.316;  p: 0.000 0.033 0.200;  v: 0.000 0.211 0.000
time: 0.317;  p: 0.000 0.033 0.200;  v: 0.000 0.211 0.000
time: 0.318;  p: 0.000 0.034 0.200;  v: 0.000 0.212 0.000
time: 0.319;  p: 0.000 0.034 0.200;  v: 0.000 0.213 0.000
time: 0.320;  p: 0.000 0.034 0.200;  v: 0.000 0.213 0.000
time: 0.321;  p: 0.000 0.034 0.200;  v: 0.000 0.214 0.000
time: 0.322;  p: 0.000 0.034 0.200;  v: 0.000 0.215 0.000
time: 0.323;  p: 0.000 0.035 0.200;  v: 0.000 0.215 0.000
time: 0.324;  p: 0.000 0.035 0.200;  v: 0.000 0.216 0.000
time: 0.325;  p: 0.000 0.035 0.200;  v: 0.000 0.217 0.000
time: 0.326;  p: 0.000 0.035 0.200;  v: 0.000 0.217 0.000
time: 0.327;  p: 0.000 0.036 0.200;  v: 0.000 0.218 0.000
time: 0.328;  p: 0.000 0.036 0.200;  v: 0.000 0.219 0.000
time: 0.329;  p: 0.000 0.036 0.200;  v: 0.000 0.219 0.000
time: 0.330;  p: 0.000 0.036 0.200;  v: 0.000 0.220 0.000
time: 0.331;  p: 0.000 0.036 0.200;  v: 0.000 0.221 0.000
time: 0.332;  p: 0.000 0.037 0.200;  v: 0.000 0.221 0.000
time: 0.333;  p: 0.000 0.037 0.200;  v: 0.000 0.222 0.000
time: 0.334;  p: 0.000 0.037 0.200;  v: 0.000 0.223 0.000
time: 0.335;  p: 0.000 0.037 0.200;  v: 0.000 0.223 0.000
time: 0.336;  p: 0.000 0.038 0.200;  v: 0.000 0.224 0.000
time: 0.337;  p: 0.000 0.038 0.200;  v: 0.000 0.225 0.000
time: 0.338;  p: 0.000 0.038 0.200;  v: 0.000 0.225 0.000
time: 0.339;  p: 0.000 0.038 0.200;  v: 0.000 0.226 0.000
time: 0.340;  p: 0.000 0.038 0.200;  v: 0.000 0.227 0.000
time: 0.341;  p: 0.000 0.039 0.200;  v: 0.000 0.227 0.000
time: 0.342;  p: 0.000 0.039 0.200;  v: 0.000 0.228 0.000
time: 0.343;  p: 0.000 0.039 0.200;  v: 0.000 0.229 0.000
time: 0.344;  p: 0.000 0.039 0.200;  v: 0.000 0.229 0.000
time: 0.345;  p: 0.000 0.040 0.200;  v: 0.000 0.230 0.000
time: 0.346;  p: 0.000 0.040 0.200;  v: 0.000 0.231 0.000
time: 0.347;  p: 0.000 0.040 0.200;  v: 0.000 0.231 0.000
time: 0.348;  p: 0.000 0.040 0.200;  v: 0.000 0.232 0.000
time: 0.349;  p: 0.000 0.040 0.200;  v: 0.000 0.233 0.000
time: 0.350;  p: 0.000 0.041 0.200;  v: 0.000 0.233 0.000
time: 0.351;  p: 0.000 0.041 0.200;  v: 0.000 0.234 0.000
time: 0.352;  p: 0.000 0.041 0.200;  v: 0.000 0.235 0.000
